resumption hervatting
real reële
entrepreneurs ondernemers
guarantee garantie
businesspeople aanschrijft
participate deelnemen
mediumsized middelgrote
distribution distributie
marginalised gemarginaliseerd
receiving donerende
missed gemiste
opportunity gelegenheid
attain radius
rapidly ontwikkelend
overcome overwonnen
crucial allesbepalend
complete buitensluiting
communications communications
energies energiesoorten
participation participatie
uniting vulgaire
administrations administraties
complementing completering
obstructing vrijlaat
excluding mediaondernemers
lead lood
incumbent sirte
achieved gezondheidsitem
discredited gediscrediteerd
policies beleidsvormen
conservative conservatieve
leader leider
hague haag
secretary secretaris
book boek
stern voorsteven
wulfmathies wulfmathies
british british
suggest reisje
reads richtsnoerdocument
extensive gehoorvermogen
focus concentreren
minds geesten
framework raamwerk
enhance uitstrooien
regeneration stadsvernieuwing
widest commissiemededeling
partnership partnerschap
recovery terugwinning
sustainable duurzame
eventually maturiteit
lifesupport coma
machine machine
identify identificeren
skills vaardigheden
hitech wegvoer
media media
losing kwijtraken
growth groei
operation operatie
round ronde
instructive leerzame
telling autoconcerns
creating drieëntwintig
layers afzweren
red rode
tape rompslomp
shifting srilankanen
halfway hernieuwbaar
inevitable onvermijdelijke
underspends onderbestedingen
budgetary budgettaire
requirement nódig
implementation tenuitvoerlegging
left links
interpretation interpretatie
desk opvatte
officer bevelhebber
civil civiele
coherence coherentie
directorate directoraat
while terwijl
respecting reisvergunning
indicative indicatieve
assist meerstammig
managers beheerders
fundusers oriënterend
inject klimaatonderhandelingen
entrepreneurial ondernemingsgezinde
structurally infrastructureel
weak zwakke
onto paplepel
attracting transportorganisatoren
investor investeerder
judge beoordelen
solid solide
enabling faciliterend
guideline procentrichtsnoer
open open
contributing verkiezingsbudget
prosperity welvaart
gone ontspoord
depth kennisniveau
took overnam
heard gehoord
badly fruittelers
behind sociologen
hopefully hopelijk
midterm tussentijdse
appraisal luchtvaartorganisatie
practical praktische
grew groeiden
raised “meister”
concentrate concentreren
assessing ondersteuningsmechanismen
steer partnerschapsmethode
aim basisdoel
reduce verminderen
inequality ongelijkheid
emphasises schadebeperkend
players spelers
smes kmo's
considers naivasha
remote afgelegen
peripheral perifere
interaction interactie
oppose beheersbesluit
excessive buitensporige
control beheersen
administration administratie
exercises oefeningen
calling chineesjapanse
root pennen
watered verwatering
slow traag
complicated doorverwees
processes processen
lasting naivasha
benefit profiteren
efficiently efficiënt
flexibly infaseringsregio's
productive productieve
interesting interessante
supports steunt
proof bewijslast
consultative raadgevende
subordinate radertje
elisabeth elisabeth
reach reach
demand eis
frameworks kaders
studied bestudeerde
poorest armste
leastdeveloped minstontwikkelde
reversing kenteren
harmful schadelijke
trends trends
exist licentieprocedures
move voortbeweegt
fairer rechtvaardiger
main voornaamste
results resultaten
representatives vertegenwoordigers
insufficient controleprotocollen
condition conditie
achieving verwezenlijking
mistaken vergiste
gross bruto
domestic huiselijk
product product
inhabitant inwoner
sole tong
indicator indicator
unemployment werkloosheid
study studie
indicators indicatoren
enable fourniret
societies samenlevingen
evolving uitstootbeperking
prosperous welvarende
enjoy monarchieën
act coördinatiebesluit
decisively gerouwd
strategically herintegratie
agree eens
late late
assessment beoordelings
equally gezegende
influential invloedrijk
citizens'representatives partijenstatuut
bureaucratic bureaucratische
dimension dimensie
officials functionarissen
responsibilities verantwoordelijkheden
productivity productiviteit
recommendations aanbevelingen
following ontvouwden
integrated geïntegreerde
approach benadering
spending bestedingsgraad
comprehensive alomvattende
authorities autoriteiten
urged drong
attach hechten
strategies strategieën
revitalising promotor
relations betrekkingen
latter laatstgenoemde
urban stedelijke
renewal vernieuwing
cities steden
strike staking
balance evenwicht
promoting gezondheidsbevordering
city stad
dwellers noordpoolbewoners
build bouwen
alone gehuldigde
played gespeeld
mainly gewestelijke
upgrading comfortabeler
water water
treatment behandeling
financial financiële
leaders leiders
berlin berlijn
summit top
helped geholpen
competitiveness concurrentievermogen
consolidate consolideren
permanent permanente
progress vooruitgang
ultraperipheral ultraperifere
poorer armere
operate opereren
successfully aangemaakt
euro “euro”
currency munt
zone zone
everexpanding onthaald
free vrije
movement verkeer
persons statelozen
helping zelfhulp
welloff arbeidsongeschikten
thirdlevel tertiaire
financed gefinancierd
postleaving schrijfvaardigheid
certificate certificaat
combat bestrijden
youth jeugd
longterm langlopend
school school
leavers schoolverlaters
promote bevorderen
adult volwassen
literacy alfabetisme
numerous talrijke
occasions gelegenheden
disagreed selectiecommissie
encourage aanmoedigen
path pad
nevertheless niettemin
commend beveel
added toegevoegde
annex bijlage
mccarthy mccarthy
rapporteurs rapporteurs
bernié bernié
blame schuldvraag
raising grootbrengen
reiterate herhalen
broadly stabiliseerde
deviate intolerant
emphasis nadruk
placed opwierp
personally persoonlijk
totally verlag
islander eilandbewoner
dissatisfaction ontevredenheid
island eiland
deserves verdient
ongoing lopende
article artikel
treaty verdrag
amsterdam amsterdam
islands eilanden
assume ingewijd
code code
conduct gedragscode
abreast concurrentiezaken
earned gari
praise lof
attentive ontduikingen
sides zijden
openness openheid
share aandeel
regrets betreurt
regards piianoora
sort rondfladderen
immediate onmiddellijke
establish onderwijsaspecten
influence invloed
phase herstelfase
programming programmering
entering afgetapte
called “nazi’s”
manage beheren
routine routinematige
subsidies subsidies
interfaces enten
subsidiary dochteronderneming
enlargement uitbreiding
considerable aanzienlijke
impact impact
geographical geografische
invite uitnodigen
involve involveren
redistribute herverdelen
total total
appropriation leaderreserve
completely versimpeld
absent afwezige
tend euregelgeving
nowadays doodbloeden
accuse brandmerken
unavailable zorgaanbod
proportion nivelleringsbeleid
operations operaties
capable mág
loud luid
publicity informatieconcept
aid hulp
repair herstelwerk
caused veroorzaakt
monetary monetair
reinforces noemenswaardig
inequalities ongelijkheden
shape “solidarność”
probable syndroom
scenario scenario
entrenchment baqir
brake noodrem
aims oogmerken
satisfy eigentijdse
needs behoeften
envisages steunverlaging
convergence convergentie
living levensstandaard
highest hoogste
denominator deler
extending volksreferenda
scope werkingssfeer
redistribution herverdeling
instruments instrumenten
proposing termijndoelstellingen
unified aaneengeschakeld
protection protection
systems systemen
hours uren
bound gebonden
reluctantly wikken
vague vaag
reestablishes opstelling
sphere invloedssfeer
steps stappen
persuades indringendheid
coming ontspruit
faced boekhouden
globalisation globalisering
eastward raad”
detailed gedetailleerde
revitalise revitaliseren
individually thuislanden
optimum optimale
capacities capaciteiten
intentions bedoelingen
clearer duidelijker
firm stuwen
monitoring monitoring
utilising moderniseringen
operators exploitanten
consultation raadpleging
ensuring visserijgebeid
decisionmaking besluitvorming
imbalances onevenwichtigheden
avoided gemeden
simpler eenvoudigere
unnecessarily onnodig
lengthy onderhandelings
hindering doorlichten
complain klagen
territorial territoriale
pacts pacten
methods methoden
combating bestrijding
women vrouwen
pleasure genoegen
west westen
midlands midlands
hitherto interventieprijs
benefited geprofiteerd
tonight hedenavond
prime ministerpresident
careful zorgvuldige
produce produceren
grandiosesounding zoveelste
ideas ideeën
directly rechtstreeks
wellintentioned dankbaarder
clarity duidelijkheid
purpose doelbesef
operability chertoff
additions toevoegingen
away verknoeien
guide inkaderen
thinking denkwijze
taxpayer belastingbetaler
probity rechtschapenheid
disbursement begroot
auditing accountantskantoren
money geld
grantgiving geldindicatoren
whose wiens
outcomes veiligheidsreputatie
necessarily noodzakelijkerwijs
unclear onduidelijk
midway rooskleurig
terminating keuzerecht
successful succesvolle
provision bepaling
enforceable afdwingbare
exit exitstrategie
requisite vleesmarkten
insurance verzekeringsmaatschappijen
loaded lieten
avoid vermijden
wellrehearsed veelgehoorde
syndrome vermoeidheidssyndroom
throwing afwerping
bad slechte
disbursed ebwo
reality realiteit
equation weggestreept
funded gefinancierd
shifted giftenstroom
smallscale kleinschalige
revenuebased kapitaalinvesteringen
benefits voordelen
muchtrumpeted gejuich
temptation verleiding
located politieeenheid
diminished besmeurd
show tonen
historic historische
deprived beroofd
brought grootschaligheid
decent fiere
standard norm
handout aalmoes
handup lagen
meticulous nauwgezetter
substantive medebevoegde
piece wetgevingstekst
doubt twijfel
tools hulpmiddelen
tackling immigratiegerelateerde
reducing terugdringen
levels niveaus
disparity uitgavenvolume
unacceptably verplegen
thoughtout verslagwojciechowski
sensible verstandige
life life
location locatie
hindrance normaliteit
unless tenzij
intending peinst
bridges bruggen
underwater onderwaterradarsysteem
mainland vasteland
closing sluitingsceremonie
adapt aanpassen
changing veranderende
thereby machtigst
respond verwaardigt
observations waarnemingen
actual feitelijke
direction richting
outcome uitkomst
ease dolven
mass massagraf
aggravates verergert
irreparably schut
damaged deuk
dramatic dramatische
becoming wanhopiger
marked markeringen
data gegevens
sixth zesde
periodic geïnventariseerde
decade decennium
witnessed getuige
proliferation proliferatie
facing samenwerkenden
shortcomings tekortkomingen
infrastrucutres ternauwernood
resulted resulteerde
depopulation ontvolking
section afdeling
strongly jäätteenmäkiverslag
anti beticht
grassroots volksinkomen
heading rubriek
signs tekenen
things dingen
words woorden
outermost ultraperifere
ambition ambitie
azores azoren
madeira madeira
enlighten voeling
awaited wachtte
willing bereid
suggestions suggesties
contrary integendeel
claim claim
reminiscent schilderij
extent hoeverre
catalogue catalogus
measures maatregelen
true blokkeerden
document document
simplifying vereenvoudigend
calls roept
favourable gunstig
labourintensive arbeidsintensieve
enterprises kleinbedrijf
alternative alternatieve
financing financiering
startup luchtverbindingen
investment investering
innovative innovatieve
deliberations beraadslagingen
criterion criterium
unemployed werklozen
equality gelijkheid
men mannen
evidence bewijsmateriaal
later later
berend berend
splendid prachtiger
backward achtergebleven
bridge brug
gulf golfstaten
separates terreurzone
highlydeveloped hoogontwikkelde
gdp bbp
experiencing benijdenswaardige
differences verschillen
read gelezen
treat warmhartig
citizens'greatest ongevraagd
allocation toewijzing
reserves reserves
fundamentally christendemocratisch
head staatshoofd
effectiveness effectiviteit
sevenyear zevenjarenplan
struck toesloegen
greek griekse
comprise grondwetproject
stipulated bedongen
strengthened versterkt
disregards “ruimdenkende”
neither noch
reliable betrouwbare
viable levensvatbare
